date,케데헌_콘텐츠,device,gender,age_group,국립중앙박물관,뮷즈_굿즈
2025-01-15,0.0,all,all,10s,2.56567,0.13134
2025-01-15,0.0,all,all,20s,9.22945,0.49024
2025-01-15,0.0,all,all,30s,9.13012,0.79586
2025-01-15,0.0,all,all,40s_plus,10.1156,0.33862
2025-01-15,0.0,all,all,all,9.92432,0.52079
2025-01-15,0.0,all,f,all,11.42033,0.5191
2025-01-15,0.0,all,m,all,6.22299,0.49438
2025-01-16,0.0,all,all,10s,2.03152,0.21015
2025-01-16,0.0,all,all,20s,8.28626,0.60215
2025-01-16,0.0,all,all,30s,8.58343,0.70288
2025-01-16,0.0,all,all,40s_plus,10.62677,0.37313
2025-01-16,0.0,all,all,all,9.75135,0.53772
2025-01-16,0.0,all,f,all,11.03914,0.54389
2025-01-16,0.0,all,m,all,6.56179,0.51166
2025-01-17,0.0,all,all,10s,1.96147,0.10507
2025-01-17,0.0,all,all,20s,9.6451,0.46893
2025-01-17,0.0,all,all,30s,9.67681,0.67313
2025-01-17,0.0,all,all,40s_plus,11.09481,0.33646
2025-01-17,0.0,all,all,all,10.58613,0.48883
2025-01-17,0.0,all,f,all,11.68221,0.49896
2025-01-17,0.0,all,m,all,7.74762,0.39757
2025-01-18,0.0,all,all,10s,2.48686,0.14886
2025-01-18,0.0,all,all,20s,12.06437,0.65544
2025-01-18,0.0,all,all,30s,14.05407,0.94462
2025-01-18,0.0,all,all,40s_plus,13.10499,0.46803
2025-01-18,0.0,all,all,all,12.83478,0.6383
2025-01-18,0.0,all,f,all,14.17547,0.66321
2025-01-18,0.0,all,m,all,11.25324,0.63267
2025-01-19,0.0,all,all,10s,3.33625,0.11383
2025-01-19,0.0,all,all,20s,11.03591,0.58616
2025-01-19,0.0,all,all,30s,12.76358,0.8628
2025-01-19,0.0,all,all,40s_plus,16.85143,0.4896
2025-01-19,0.0,all,all,all,14.10857,0.596
2025-01-19,0.0,all,f,all,15.62742,0.59348
2025-01-19,0.0,all,m,all,12.48746,0.68798
2025-01-20,0.0,all,all,10s,2.28546,0.14886
2025-01-20,0.0,all,all,20s,9.76233,0.65011
2025-01-20,0.0,all,all,30s,9.76979,0.83305
2025-01-20,0.0,all,all,40s_plus,11.89931,0.3494
2025-01-20,0.0,all,all,all,11.12479,0.57532
2025-01-20,0.0,all,f,all,12.38571,0.59193
2025-01-20,0.0,all,m,all,7.75799,0.49438
2025-01-21,0.0,all,all,10s,2.11033,0.0788
2025-01-21,0.0,all,all,20s,8.6646,0.42097
2025-01-21,0.0,all,all,30s,8.23013,0.59503
2025-01-21,0.0,all,all,40s_plus,10.6203,0.33646
2025-01-21,0.0,all,all,all,9.88484,0.46533
2025-01-21,0.0,all,f,all,10.81445,0.46022
2025-01-21,0.0,all,m,all,7.00086,0.36992
2025-01-22,0.0,all,all,10s,2.01401,0.10507
2025-01-22,0.0,all,all,20s,8.90973,0.65544
2025-01-22,0.0,all,all,30s,8.45327,0.69545
2025-01-22,0.0,all,all,40s_plus,11.17246,0.33646
2025-01-22,0.0,all,all,all,10.08601,0.53019
2025-01-22,0.0,all,f,all,11.39554,0.52065
2025-01-22,0.0,all,m,all,6.91789,0.49092
2025-01-23,0.0,all,all,10s,2.4781,0.22767
2025-01-23,0.0,all,all,20s,8.73388,0.49024
2025-01-23,0.0,all,all,30s,7.98467,0.74379
2025-01-23,0.0,all,all,40s_plus,10.4456,0.38823
2025-01-23,0.0,all,all,all,9.6611,0.5678
2025-01-23,0.0,all,f,all,10.79121,0.5222
2025-01-23,0.0,all,m,all,6.73465,0.55661
2025-01-24,0.0,all,all,10s,2.10157,0.1401
2025-01-24,0.0,all,all,20s,8.78716,0.73004
2025-01-24,0.0,all,all,30s,9.04459,0.76239
2025-01-24,0.0,all,all,40s_plus,10.62246,0.42274
2025-01-24,0.0,all,all,all,10.06157,0.60352
2025-01-24,0.0,all,f,all,10.90123,0.58108
2025-01-24,0.0,all,m,all,7.6439,0.61884
2025-01-25,0.0,all,all,10s,2.64448,0.1401
2025-01-25,0.0,all,all,20s,11.0519,0.64478
2025-01-25,0.0,all,all,30s,12.2987,0.74751
2025-01-25,0.0,all,all,40s_plus,14.29341,0.42058
2025-01-25,0.0,all,all,all,12.71069,0.54994
2025-01-25,0.0,all,f,all,13.66256,0.55164
2025-01-25,0.0,all,m,all,12.07605,0.61192
2025-01-26,0.0,all,all,10s,2.8021,0.08756
2025-01-26,0.0,all,all,20s,10.72684,0.47426
2025-01-26,0.0,all,all,30s,13.41812,0.69545
2025-01-26,0.0,all,all,40s_plus,16.38555,0.45725
2025-01-26,0.0,all,all,all,13.92902,0.51703
2025-01-26,0.0,all,f,all,14.7891,0.49586
2025-01-26,0.0,all,m,all,13.80812,0.61538
2025-01-27,0.0,all,all,10s,2.35551,0.05253
2025-01-27,0.0,all,all,20s,10.42843,0.66609
2025-01-27,0.0,all,all,30s,12.37308,0.75495
2025-01-27,0.0,all,all,40s_plus,16.0534,0.4745
2025-01-27,0.0,all,all,all,13.49753,0.58472
2025-01-27,0.0,all,f,all,13.99417,0.58418
2025-01-27,0.0,all,m,all,13.70786,0.61192
2025-01-28,0.0,all,all,10s,2.35551,0.2014
2025-01-28,0.0,all,all,20s,8.82446,0.68208
2025-01-28,0.0,all,all,30s,11.21648,0.81817
2025-01-28,0.0,all,all,40s_plus,13.96126,0.5543
2025-01-28,0.0047,all,all,all,11.81198,0.68625
2025-01-28,0.0,all,f,all,12.10989,0.64152
2025-01-28,0.0,all,m,all,12.44252,0.73984
2025-01-29,0.0,all,all,10s,2.18914,0.16637
2025-01-29,0.0,all,all,20s,8.66993,0.52754
2025-01-29,0.0,all,all,30s,10.0264,0.68057
2025-01-29,0.0,all,all,40s_plus,12.88499,0.39254
2025-01-29,0.0,all,all,all,10.91985,0.51515
2025-01-29,0.0,all,f,all,11.25918,0.50206
2025-01-29,0.0,all,m,all,11.34312,0.54969
2025-01-30,0.0,all,all,10s,2.72329,0.17513
2025-01-30,0.0,all,all,20s,10.08739,0.49024
2025-01-30,0.0,all,all,30s,12.93837,0.75867
2025-01-30,0.0,all,all,40s_plus,17.08868,0.56077
2025-01-30,0.0,all,all,all,14.07003,0.60634
2025-01-30,0.0,all,f,all,14.63724,0.58263
2025-01-30,0.0,all,m,all,14.38202,0.69144
2025-01-31,0.0,all,all,10s,2.36427,0.12259
2025-01-31,0.0,all,all,20s,9.21347,0.66076
2025-01-31,0.0,all,all,30s,11.43218,0.6285
2025-01-31,0.0,all,all,40s_plus,13.13303,0.51548
